ts,running,waiting,kv_cache_usage_perc,error
1783033524.1628406,16.0,16.0,0.01990892326220317,
1783033524.2679117,16.0,16.0,0.01990892326220317,
1783033524.3730526,16.0,16.0,0.01990892326220317,
1783033524.4783812,16.0,16.0,0.01990892326220317,
1783033524.5837102,16.0,16.0,0.019984193293440256,
1783033524.6887727,16.0,16.0,0.020511083512099626,
1783033524.794212,16.0,16.0,0.020511083512099626,
1783033524.899242,16.0,16.0,0.020511083512099626,
1783033525.004335,16.0,16.0,0.020511083512099626,
1783033525.1098936,16.0,16.0,0.020511083512099626,
1783033525.2151637,16.0,16.0,0.021113243761996192,
1783033525.3205817,16.0,16.0,0.021113243761996192,
1783033525.4256368,16.0,16.0,0.021113243761996192,
1783033525.5306756,16.0,16.0,0.021113243761996192,
1783033525.6357405,16.0,16.0,0.021113243761996192,
1783033525.740767,16.0,16.0,0.021188513793233277,
1783033525.845889,16.0,16.0,0.021715404011892647,
1783033525.9509883,16.0,16.0,0.021715404011892647,
1783033526.0560827,16.0,16.0,0.021715404011892647,
1783033526.1612053,16.0,16.0,0.021715404011892647,
1783033526.2662556,16.0,16.0,0.021715404011892647,
1783033526.3715682,16.0,16.0,0.021790674043129732,
1783033526.4766529,16.0,16.0,0.022317564261789213,
1783033526.5817318,16.0,16.0,0.022317564261789213,
1783033526.6867623,16.0,16.0,0.022317564261789213,
1783033526.7918274,16.0,16.0,0.022317564261789213,
1783033526.8968887,16.0,16.0,0.022317564261789213,
1783033527.0019867,16.0,16.0,0.02291972451168567,
1783033527.1070292,16.0,16.0,0.02291972451168567,
1783033527.2121646,16.0,16.0,0.02291972451168567,
1783033527.3174808,16.0,16.0,0.02291972451168567,
1783033527.4225953,16.0,16.0,0.02291972451168567,
1783033527.527719,16.0,16.0,0.022994994542922753,
1783033527.6329732,16.0,16.0,0.023521884761582124,
1783033527.738369,16.0,16.0,0.023521884761582124,
1783033527.8435094,16.0,16.0,0.023521884761582124,
1783033527.9485905,16.0,16.0,0.023521884761582124,
1783033528.0539587,16.0,16.0,0.023521884761582124,
1783033528.1590207,16.0,16.0,0.02412404501147869,
1783033528.2641654,14.0,16.0,0.021640133980655563,
1783033528.3698306,16.0,0.0,0.004854917014790572,
1783033528.4750054,16.0,0.0,0.004854917014790572,
1783033528.5801318,16.0,0.0,0.004854917014790572,
1783033528.6852078,16.0,0.0,0.004854917014790572,
1783033528.790268,16.0,0.0,0.005457077264687027,
1783033528.8953493,16.0,0.0,0.005457077264687027,
1783033529.000694,16.0,0.0,0.005457077264687027,
1783033529.106243,16.0,0.0,0.005457077264687027,
1783033529.211329,16.0,0.0,0.005457077264687027,
1783033529.3164096,16.0,0.0,0.0055323472959241116,
1783033529.4214525,16.0,0.0,0.006059237514583593,
1783033529.5265403,16.0,0.0,0.006059237514583593,
1783033529.631589,16.0,0.0,0.006059237514583593,
1783033529.7366154,16.0,0.0,0.006059237514583593,
1783033529.8416786,16.0,0.0,0.006059237514583593,
1783033529.9467566,16.0,0.0,0.006661397764480048,
1783033530.0517533,16.0,0.0,0.006661397764480048,
1783033530.1571498,16.0,0.0,0.006661397764480048,
1783033530.2622142,16.0,0.0,0.006661397764480048,
1783033530.367315,16.0,0.0,0.006661397764480048,
1783033530.4723868,16.0,0.0,0.006661397764480048,
1783033530.5774956,16.0,0.0,0.007263558014376614,
1783033530.682608,16.0,0.0,0.007263558014376614,
1783033530.7878952,16.0,0.0,0.007263558014376614,
1783033530.8930078,16.0,0.0,0.007263558014376614,
1783033530.9980526,16.0,0.0,0.007263558014376614,
1783033531.1030655,16.0,0.0,0.007338828045613588,
1783033531.208232,16.0,0.0,0.00786571826427307,
1783033531.3133175,16.0,0.0,0.00786571826427307,
1783033531.4185054,16.0,0.0,0.00786571826427307,
1783033531.5237596,16.0,0.0,0.00786571826427307,
1783033531.6288433,16.0,0.0,0.00786571826427307,
1783033531.734174,16.0,0.0,0.008467878514169636,
1783033531.839419,16.0,0.0,0.008467878514169636,
1783033531.9448574,16.0,0.0,0.008467878514169636,
1783033532.0506744,16.0,0.0,0.008467878514169636,
1783033532.156336,16.0,0.0,0.008467878514169636,
1783033532.2617843,16.0,0.0,0.008467878514169636,
1783033532.3669386,16.0,0.0,0.00907003876406609,
1783033532.4721644,16.0,0.0,0.00907003876406609,
1783033532.577895,16.0,0.0,0.00907003876406609,
1783033532.6830463,16.0,0.0,0.00907003876406609,
1783033532.7882495,16.0,0.0,0.00907003876406609,
1783033532.893384,16.0,0.0,0.009145308795303175,
1783033532.9986978,16.0,0.0,0.009672199013962546,
1783033533.1040695,16.0,0.0,0.009672199013962546,
1783033533.2091537,16.0,0.0,0.009672199013962546,
1783033533.314214,16.0,0.0,0.009672199013962546,
1783033533.4192622,16.0,0.0,0.009672199013962546,
1783033533.524423,16.0,0.0,0.010274359263859112,
1783033533.6295083,16.0,0.0,0.010274359263859112,
1783033533.734962,16.0,0.0,0.010274359263859112,
1783033533.8400428,16.0,0.0,0.010274359263859112,
1783033533.9451427,16.0,0.0,0.010274359263859112,
1783033534.0502486,16.0,0.0,0.010349629295096197,
1783033534.1554174,16.0,0.0,0.010876519513755567,
1783033534.2605124,16.0,0.0,0.010876519513755567,
1783033534.3656785,16.0,0.0,0.010876519513755567,
1783033534.4707866,16.0,0.0,0.010876519513755567,
1783033534.575883,16.0,0.0,0.010876519513755567,
1783033534.6814249,16.0,0.0,0.010951789544992652,
1783033534.786563,16.0,0.0,0.011478679763652133,
1783033534.891635,16.0,0.0,0.011478679763652133,
1783033534.996842,16.0,0.0,0.011478679763652133,
1783033535.1018589,16.0,0.0,0.011478679763652133,
1783033535.2068944,16.0,0.0,0.011478679763652133,
1783033535.3121498,16.0,0.0,0.012080840013548588,
1783033535.4172444,16.0,0.0,0.012080840013548588,
1783033535.5223114,16.0,0.0,0.012080840013548588,
1783033535.6273613,16.0,0.0,0.012080840013548588,
1783033535.7329397,16.0,0.0,0.012080840013548588,
1783033535.8379614,16.0,0.0,0.012156110044785673,
1783033535.9433677,16.0,0.0,0.012683000263445154,
1783033536.048422,16.0,0.0,0.012683000263445154,
1783033536.1537657,16.0,0.0,0.012683000263445154,
1783033536.2587993,16.0,0.0,0.012683000263445154,
